,name,subgroup,filename,mass,area
0,Mut6,Donor,Mut6_Donor_1.mzML,1248.552328964,0.0
1,Mut6,Donor,Mut6_Donor_2.mzML,1248.552328964,0.0
2,Mut6,Acceptor,Mut6_Acceptor_2.mzML,1248.552328964,913026.49609375
3,Mut6,Acceptor,Mut6_Acceptor_1.mzML,1248.552328964,1723738.5859375
4,Mut6,Std,Mut6_Std.mzML,1248.552328964,82935688.4296875
5,Mut16,Donor,Mut16_Donor_2.mzML,1222.5366789,0.0
6,Mut16,Donor,Mut16_Donor_1.mzML,1222.5366789,1329.4420166015625
7,Mut16,Acceptor,Mut16_Acceptor_2.mzML,1222.5366789,1150581.3798828125
8,Mut16,Acceptor,Mut16_Acceptor_1.mzML,1222.5366789,500677.642578125
9,Mut16,Std,Mut16_Std.mzML,1222.5366789,59306990.8125
10,Mut5,Acceptor,Mut5_Acceptor_1.mzML,1248.552328964,1289909.41015625
11,Mut5,Acceptor,Mut5_Acceptor_2.mzML,1248.552328964,1703296.6357421875
12,Mut5,Std,Mut5_Std.mzML,1248.552328964,1633298.3671875
13,Mut5,Donor,Mut5_Donor_2.mzML,1248.552328964,12381.369140625
14,Mut5,Donor,Mut5_Donor_1.mzML,1248.552328964,0.0
15,Mut17,Std,Mut17_Std.mzML,1264.583629092,34590827.5
16,Mut17,Donor,Mut17_Donor_2.mzML,1264.583629092,0.0
17,Mut17,Donor,Mut17_Donor_1.mzML,1264.583629092,0.0
18,Mut17,Acceptor,Mut17_Acceptor_1.mzML,1264.583629092,369108.8203125
19,Mut17,Acceptor,Mut17_Acceptor_2.mzML,1264.583629092,523026.4619140625
20,Mut2,Donor,Mut2_Donor_2.mzML,1308.573458332,0.0
21,Mut2,Donor,Mut2_Donor_1.mzML,1308.573458332,0.0
22,Mut2,Acceptor,Mut2_Acceptor_2.mzML,1308.573458332,9219077.412109375
23,Mut2,Acceptor,Mut2_Acceptor_1.mzML,1308.573458332,3712621.513671875
24,Mut2,Std,Mut2_Std.mzML,1308.573458332,184970030.109375
25,Mut18,Std,Mut18_Std.mzML,1250.567979028,130283897.828125
26,Mut18,Acceptor,Mut18_Acceptor_1.mzML,1250.567979028,776709.43359375
27,Mut18,Acceptor,Mut18_Acceptor_2.mzML,1250.567979028,671477.9213867188
28,Mut18,Donor,Mut18_Donor_1.mzML,1250.567979028,0.0
29,Mut18,Donor,Mut18_Donor_2.mzML,1250.567979028,0.0
30,Mut1,Donor,Mut1_Donor_2.mzML,1396.553116812,0.0
31,Mut1,Donor,Mut1_Donor_1.mzML,1396.553116812,0.0
32,Mut1,Std,Mut1_Std_180530122834.mzML,1396.553116812,22506183.82421875
33,Mut1,Std,Mut1_Std_180530121449.mzML,1396.553116812,212.6123504638672
34,Mut1,Acceptor,Mut1_Acceptor_2.mzML,1396.553116812,863862.6357421875
35,Mut1,Acceptor,Mut1_Acceptor_1.mzML,1396.553116812,65044.712890625
